siteid,sitename,date,t1,t2,t3,t4,h3,h4,f1,f2
GUA046,EL MAESTRO,2020-08-30T15:05:14Z,3.8,21.8,22.4,18,36.3,44.6,34.6,33.99
GUA046,EL MAESTRO,2020-08-30T15:09:22Z,4,22.3,22.9,19,35.2,43.8,35.37,34.52
GUA046,EL MAESTRO,2020-08-30T15:13:22Z,3.5,21.8,22.5,18.2,35,44.7,57.95,33.94
GUA046,EL MAESTRO,2020-08-30T15:17:24Z,5,23,22.8,18.6,35.8,44.1,34.78,34.91
GUA046,EL MAESTRO,2020-08-30T15:21:26Z,3.9,22.2,22.8,18.8,34.9,43.7,34.69,35.07
GUA046,EL MAESTRO,2020-08-30T15:25:29Z,3.5,21.7,22.5,18.2,34.8,44,23.25,22.93
GUA046,EL MAESTRO,2020-08-30T15:29:33Z,4.1,22.1,22.5,18,36,44.2,34.68,42.83
GUA046,EL MAESTRO,2020-08-30T15:33:36Z,4,22.3,22.9,19,34.8,43.6,34.54,34.82
GUA046,EL MAESTRO,2020-08-30T15:37:39Z,3.4,21.7,22.5,18.3,34.6,43.6,34.05,34
GUA046,EL MAESTRO,2020-08-30T15:41:42Z,3.3,21.4,22.4,18,36.8,45.7,34.1,33.96
GUA046,EL MAESTRO,2020-08-30T15:45:42Z,4.8,22.7,23.2,19.2,34.9,43.3,34.4,34.42
GUA046,EL MAESTRO,2020-08-30T15:49:42Z,3.4,21.8,22.6,18.5,34.5,43.4,22.25,22.42
GUA046,EL MAESTRO,2020-08-30T15:53:43Z,3.2,21.5,22.4,18,38.9,47.8,34.84,35.02
GUA046,EL MAESTRO,2020-08-30T15:57:40Z,5.1,22.8,23.2,19.3,35.7,44,33.85,34.34
GUA046,EL MAESTRO,2020-08-30T16:01:38Z,3.5,21.9,22.6,18.5,34.7,43.6,35.36,43.35
GUA046,EL MAESTRO,2020-08-30T16:05:38Z,3.2,21.5,22.4,18.1,35.1,45.5,34.23,42.75
GUA046,EL MAESTRO,2020-08-30T16:09:37Z,6.9,23.3,23.2,19.3,35,43.3,34.61,35.26
GUA046,EL MAESTRO,2020-08-30T16:13:38Z,3.3,21.9,22.6,18.5,34.3,43.2,34.33,34.14
GUA046,EL MAESTRO,2020-08-30T16:17:45Z,3,21.5,22.4,18,34,43.8,33.42,34.65
GUA046,EL MAESTRO,2020-08-30T16:21:39Z,5.2,23.3,22.9,18.7,35,43.1,34.42,34.62
GUA046,EL MAESTRO,2020-08-30T16:25:45Z,3.3,22.1,22.7,18.7,34.2,42.9,34.44,34.97
GUA046,EL MAESTRO,2020-08-30T16:29:52Z,2.9,21.4,22.3,18,35.5,44.7,33.98,34.06
GUA046,EL MAESTRO,2020-08-30T16:33:53Z,5,23,23.1,19.2,34.3,42.4,34.4,42.39
